,name,brewery,category,description,region,food_pairing,serving_temp_c
0,Berkshire Easy Lite,Berkshire Brewing Company,Beer,"Everybody likes easy, so we made this NEIPA easy to like with Citra, Amarillo and Simcoe hops, a medium body and fermented it with a German style ale yeast. This double dry-hopped brew has a hazy straw color and a clean finish to make Easy Like a session-able NEIPA, easy for you to enjoy any time. #EasyLikeNEIPA",Massachusetts,"Grilled chicken, Salad, Light pasta dishes",7.2-10.0° C
1,Berkshire Brewing Inhopnito,Berkshire Brewing Company,Beer,"InHOPnito American IPA is a refreshing brew with medium body
and bitterness, yet high in aroma and flavor. The scent of
cantaloupe, light citrus and berries stands out among the
tropical bouquet. The flavor follows suit, with more tropical
notes of pineapple, mango, and passion fruit backed up by a
subtle caramel accent.",Massachusetts,"Spicy Thai food, Grilled sausages, Sharp cheddar cheese",7.2-10.0° C
2,Berkshire Lost Sailor IPA,Berkshire Brewing Company,Beer,"A medium bodied India Pale Ale, dry hopped to provide a very pleasing flora, citrus aroma. Well balanced between malty sweetness and hop bitterness. A very thirst quenching IPA.",Massachusetts,"Spicy Thai curry, Grilled chicken, Sharp cheddar cheese",7.2-10.0° C
3,Berkshire Green Gown DIPA,Berkshire Brewing Company,Beer,"A high gravity New England style IPA featuring Citra, Simcoe, Centennial and Experimental 431 hop varieties. This quarterly release is the shade of a hazy sunset, and is the perfect pairing for any season in New England. The alcohol is substantial enough to warm you in the winter, the aromatics welcome spring with bright floral and fruit, in summer the hop flavors of citrus and melon are reminiscent of fruit salad, and in fall the malt backbone and bready accents complement the cool autumn breezes. Coming in at 8.5% ABV, this beer drinks deviously smooth while provoking the olfactory with a tropical bouquet of blood orange flesh, grapefruit rind and melon. 2 row pale malt and German pilsner malt create a canvas for the hops to shine while providing enough body for a great drinking experience. So Raise your Gown and Drink It Down!","South Deerfield, Massachusetts","Spicy Thai curry, Grilled pork chops, Sharp cheddar cheese",7.2-10.0° C
4,Berkshire Green Gown Double IPA,Berkshire Brewing Company,Beer,"A high gravity New England-style IPA featuring Citra, Simcoe, Centennial and Experimental 431 hop varieties. This IPA is the shade of a hazy sunset, and is the perfect pairing for any season in New England. This beer drinks deviously smooth while provoking the olfactory with a tropical bouquet of blood orange flesh, grapefruit rind and melon. Grab a Green Gown and Drink It Down!","South Deerfield, Massachusetts","Spicy Thai curry, Grilled steak, Sharp cheddar cheese",7.2-10.0° C
5,Berkshire Brewing Gold Spike Golden Ale,Berkshire Brewing Company,Beer,"A pale golden ale featuring a crisp, clean malt flavor, Gold Spike is the perfect quaff for a warm day or when you are just looking for something a bit more refreshing. Brewed true to style, this interpretation of a German Kölsch uses an authentic yeast strain tracing to the beer’s ancestral home of Cologne.","South Deerfield, Massachusetts","Grilled chicken, Salad, Seafood",7.2-10.0° C
6,Berkshire Brewing River Ale,Berkshire Brewing Company,Beer,"A strong medium bodied dark ale which contains a portion of wheat malt. River Ale has a slightly sweet malty, nutty flavor and is delicately hopped to provide a unique and pleasing taste.",Massachusetts,"Grilled chicken, Spicy sausage, Sharp cheddar cheese",7.2-10.0° C
7,Berkshire Brewing (BBC) Lost Sailor IPA,Berkshire Brewing Company,Beer,"A classic British-inspired IPA, Lost Sailor keeps an even keel with a well rounded malt profile to support generous dry-hopping with the time-honored Goldings hop variety.  With its floral and citrus aroma and medium body, Lost Sailor is the perfect session beer, whether lost at sea or in the comfort of your own home or a local pub.",Massachusetts,"Spicy Thai curry, Grilled chicken, Sharp cheddar cheese",7.2-10.0° C
8,Berkshire Brewing Jalapenito IPA,Berkshire Brewing Company,Beer,"Under cover of cloak and darkness, we took a fresh batch of our new American IPA, Inhopnito, and added in 20lbs of fresh Jalapeños and pineapple purée. It’s a refreshing brew with a bite, medium body and bitterness, yet high in aroma and flavor.","South Deerfield, Massachusetts","Spicy Mexican dishes, Grilled chicken, Pepper jack cheese",7.2-10.0° C
9,Berkshire Jalapenito IPA,Berkshire Brewing Company,Beer,"What is IPA?

IPAs, short for India Pale Ale is a beer characterized by its hoppy character and popularity in the craft beer scene. It was actually invented as a solution to provide beer for the British Empire in the east. To get beer from London to India without spoiling, a brewer named Hodgson invented a heavily hopped beer to survive the journey. Not only did it survive, it actually improved in flavor over time. Thus, the beginnings of the IPAs that are known and loved today were born. Today, IPAs come in a number of styles including British, West Coast, New England, and East Coast, to name a few. Each of these styles has different hop varieties and flavor profiles, fit for any palate.",Massachusetts,"Spicy Mexican dishes, Grilled chicken, Pepper jack cheese",7.2-10.0° C
10,Berkshire Brewing Co. Black IPA,Berkshire Brewing Company,Beer,"The first vintage in our Brewer's Choice Series IPA is a Black IPA, showing off with an impressive 70 IBU's. A special mashing technique is used to extract the dark color of the black malt without imparting any of the roasted flavors that typically come with it. The backbone for this India style black ale is an aggressive addition of American-grown ""superalpha"" bittering hops. Later hop additions in the boil, give this beer its unique aromatic properties. Seven days of conditioning on an absurd amount of dry hops add to the powerful floral and citrus performance that dances back and forth for your senses to enjoy, until the very last drop makes its way from your glass.","South Deerfield, Massachusetts","Spicy BBQ ribs, Sharp cheddar cheese, Dark chocolate.",7.2-10.0° C
